Site,Cost 19/20 (Electric),Consumption 19/20 (Electric),Cost 18/19 (Electric),Consumption 18/19 (Electric),Cost 19/20 (Gas),Consumption 19/20 (Gas),Cost 18/19 (Gas) ,Consumption 18/19 (Gas),Total Cost 19/20,Total Consumption 19/20,"CO2e
(grams)",,,,CO2 Conversion factors,
Care Home - 136 Tynwald Drive  ,£938.07,5512.7,£751.95,4614.8,"£1,283.00",38221.94,"£1,371.56",40354.87,"£2,221.07",43734.64,"1,671.14",,,,,
Care Home - 15 Norman Place  ,"£1,199.27",7292.3,"£1,029.98",6254.6,£650.74,21827.89,£656.45,20193.02,"£1,850.01",29120.19,"1,996.85",,,,,
Care Home - 164 - 166 Brooklands Avenue  ,"£2,050.25",12075.9,"£1,870.59",11915.4,"£1,565.17",53049.7,"£1,676.97",61716.67,"£3,615.42",65125.6,"3,406.33",,,,,
Care Home - 174 Brooklands Avenue  ,"£1,460.66",8798.2,"£1,324.20",8772.2,"£1,077.15",33010.43,"£1,110.87",33192.12,"£2,537.81",41808.63,"2,468.86",,,,,
Care Home - 2 Cross Heath Grove  ,"£4,950.55",27212.5,"£4,838.22",28817.4,"£2,135.18",69332.54,"£1,740.94",51558.68,"£7,085.73",96545.04,"7,391.69",,,,,
Care Home - 4 Zoar Street  ,£759.39,4284,£590.01,3481.2,£77.29,1736.19,£75.75,1594.99,£836.68,6020.19,"1,110.78",,,,,
Care Home - Burley Willows Home for Older People  ,-£84.16,0,£483.09,3160.5,£193.76,0,£256.80,0,£109.60,0,39.58,,,,,
Care Home - Dolphin Manor Home for Older People  ,"£14,403.21",113519.7,"£14,661.11",119764.3,"£11,959.56",503681.15,£570.61,18765.95,"£26,362.77",617200.85,"31,458.73",,,,,
Care Home - Home Lea House Home for Older People  ,"£12,387.00",89428.2,"£13,167.84",102633.4,"£15,674.14",517667.27,"£15,233.44",508111.35,"£28,061.14",607095.47,"26,059.76",,,,,
Care Home - Knowle Manor Home for Older People  ,"£15,149.76",115141.2,"£15,108.66",119574.2,"£14,643.67",496248.03,"£14,694.50",496924.88,"£29,793.43",611389.23,"32,421.50",,,,,
Care Home - Manorfield Home for Older People  ,£713.38,8356.1,"£1,574.56",11725.3,£454.63,0,"£2,017.10",0,"£1,168.01",8356.1,"2,228.69",,,,,
Care Home - Primrose Hill Home for Older People  ,£0.00,0,£570.01,760.4,£0.00,0,£352.45,0,£0.00,0,0.00,,,,,
Care Home - Richmond House Home For Older People  ,"£13,695.75",103262.9,"£14,510.75",112473.1,"£14,291.32",473336.2,"£14,494.70",483832.82,"£27,987.07",576599.1,"29,313.43",,,,,
Care Home - Roos Court  ,£241.27,0,£224.32,0,£812.62,26174.87,£905.64,27717.44,"£1,053.89",26174.87,166.00,,,,,
Care Home - Siegen Manor Home for Older People  ,-£275.35,0,-£216.26,132.9,£5.39,63.94,"£2,578.59",159.81,-£269.96,63.94,1.10,,,,,
Care Home - South Leeds Independence Centre  ,"£21,624.07",150452.2,"£18,666.06",138992.5,"£11,324.21",507834.1,"£10,727.74",436214.97,"£32,948.28",658286.3,"40,768.89",,,,,
Care Home - Spring Gardens Home for Older People  ,"£12,376.73",98424.7,"£12,916.63",99194.2,"£13,962.70",442782.39,"£15,131.97",480053.21,"£26,339.43",541207.09,"28,009.65",,,,,
Care Home - Suffolk Court Home for Older People  ,"£16,658.69",114085,"£16,537.38",120645,"£16,898.69",557407.04,"£16,537.82",535784.91,"£33,557.38",671492.04,"32,612.19",,,,,
Care Home - The Green Home for Older People  ,"£4,423.16",30288.9,"£4,969.81",36452.3,"£19,118.68",591105.52,"£20,778.46",711942.84,"£23,541.84",621394.42,"11,647.41",,,,,
Care Home - Wellstone Drive  ,"£1,915.25",10964.2,"£1,352.26",8501.1,"£1,890.02",51554.94,"£2,040.79",53845.31,"£3,805.27",62519.14,"3,188.54",,,,,
Caretakers Premises - Micklefield House Lodge  ,£79.95,0,£110.87,0,,,,,£79.95,0,0.00,,,,,
Caretakers Premises - Specialist Inclusive Learning Centre - North East - West Oaks School - Boston Spa  ,£896.85,5439.1,£788.38,4826,£509.79,16766.42,£587.17,17590.32,"£1,406.64",22205.52,"1,494.37",,,,,
Cemetery - Armley  ,"£1,356.95",7408.8,£471.16,2787.1,,,,,"£1,356.95",7408.8,"1,893.69",,,,,
Cemetery - Harehills  ,"£1,546.96",9053.1,"£1,544.86",9794.4,,,,,"£1,546.96",9053.1,"2,313.97",,,,,
Cemetery - Horsforth  ,£152.89,127.2,£144.22,143.2,,,,,£152.89,127.2,32.51,,,,,
Cemetery - Hunslet  ,"£1,094.02",6489.2,"£1,602.12",9280.7,£296.38,7634.7,£550.25,17302.39,"£1,390.40",14123.9,"1,719.18",,,,,
Cemetery - Lawnswood   ,"£3,525.50",19161.7,"£2,579.06",17207.9,,,,,"£3,525.50",19161.7,"4,897.73",,,,,
Cemetery - Morley  ,£130.90,0,£127.12,0,,,,,£130.90,0,0.00,,,,,
Cemetery - Yeadon  ,£391.19,1540.5,£150.98,262.8,,,,,£391.19,1540.5,393.75,,,,,
Changing Pavilion - Admiral Street Sports Pavilion  ,£831.73,4270.2,£151.05,180.2,,,,,£831.73,4270.2,"1,091.46",,,,,
Changing Pavilion - Bedquilts  ,£639.40,3480.2,£535.67,2939.2,,,,,£639.40,3480.2,889.54,,,,,
Changing Pavilion - Bramley Bowling Pavilion  ,,,,,£29.43,0,£28.39,0,£29.43,0,6.01,,,,,
Changing Pavilion - Bramley Falls Sports Changing Rooms  ,"£3,579.82",18796.2,"£3,391.29",20043.8,£57.01,0,£55.13,0,"£3,636.83",18796.2,"4,815.95",,,,,
Changing Pavilion - Brigshaw Lane Bowling Pavilion  ,£151.58,255.3,£165.90,291.8,,,,,£151.58,255.3,65.25,,,,,
Changing Pavilion - Chapel Allerton Park Pavilion  ,£287.33,1219,£343.34,1680.2,,,,,£287.33,1219,311.58,,,,,
Changing Pavilion - Cranmore & Raylands Bowling Pavilion  ,£775.29,4438.7,£788.13,5059,,,,,£775.29,4438.7,"1,134.53",,,,,
Changing Pavilion - Cranmore & Raylands Football Changing Pavilion  ,£8.60,0,£40.06,0,,,,,£8.60,0,0.00,,,,,
Changing Pavilion - Cross Flatts Park Pavilion  ,£645.57,3524.6,£626.10,3721.4,,,,,£645.57,3524.6,900.89,,,,,
Changing Pavilion - Cross Flatts Park Veterans Shelter  ,"£5,662.39",31691.9,"£4,182.28",25808.6,,,,,"£5,662.39",31691.9,"8,100.45",,,,,
Changing Pavilion - East Ardsley Recreation Ground Changing Room  ,£412.62,2032.8,£362.01,1829.2,£122.88,3343.33,£125.63,3253.93,£535.50,5376.13,544.69,,,,,
Changing Pavilion - East End Park Football Changing Pavilion  ,£719.42,4193.5,£570.45,3375.7,£573.52,19869.98,£301.02,9462.85,"£1,292.94",24063.48,"1,189.02",,,,,
Changing Pavilion - Farnley Lane Bowling Club  ,£192.92,538.6,£216.91,675.3,,,,,£192.92,538.6,137.67,,,,,
Changing Pavilion - Fearnville Bowling Club  ,£507.84,2666.1,£422.63,2224.7,,,,,£507.84,2666.1,681.46,,,,,
Changing Pavilion - Garforth Barleyhill Recreation Pavilion  ,"£3,680.89",20434.7,"£4,298.41",26062.1,,,,,"£3,680.89",20434.7,"5,223.11",,,,,
Changing Pavilion - Gildersome Bowling Pavilion  ,£293.44,1271,£288.91,1251.8,,,,,£293.44,1271,324.87,,,,,
Changing Pavilion - Glen Road Sports Facility & Changing Rooms  ,"£2,525.49",14167.1,"£2,778.87",15904.4,,,,,"£2,525.49",14167.1,"3,621.11",,,,,
Changing Pavilion - Greenbottom Bowling Pavilion  ,£163.51,674.1,£210.04,362.8,,,,,£163.51,674.1,172.30,,,,,
Changing Pavilion - Grove Hill Bowling Club  ,£195.32,451.5,£204.09,585,,,,,£195.32,451.5,115.40,,,,,
Changing Pavilion - Grove Road Bowling Pavilion  ,£365.96,1631.9,£294.61,1240.4,,,,,£365.96,1631.9,417.11,,,,,
Changing Pavilion - Halton Dene Bowling Pavilion  ,£292.68,1122,£289.43,1352,,,,,£292.68,1122,286.78,,,,,
Changing Pavilion - Harehills Park Bowling Pavilion  ,"£1,399.86",7592.5,£451.36,2392,,,,,"£1,399.86",7592.5,"1,940.64",,,,,
Changing Pavilion - Hembrigg Changing Rooms  ,£222.43,702.5,£284.15,1295.1,,,,,£222.43,702.5,179.56,,,,,
Changing Pavilion - Holt Park Bowling Pavilion  ,£379.83,1836.1,£289.14,1299.8,,,,,£379.83,1836.1,469.31,,,,,
Changing Pavilion - Hunslet Parkside Changing Rooms  ,£885.31,4868.6,£728.04,4380.2,£359.00,11370.67,£512.43,15832.39,"£1,244.31",16239.27,"1,317.75",,,,,
Changing Pavilion - Kippax Football Changing Rooms  ,"£2,558.75",14086,"£1,910.85",11176.4,,,,,"£2,558.75",14086,"3,600.38",,,,,
Changing Pavilion - Kippax Valley Ridge Bowling Pavilion  ,£224.86,766.7,£222.68,682.5,,,,,£224.86,766.7,195.97,,,,,
Changing Pavilion - Lane End  ,"£1,523.61",7283.9,"£1,764.71",9701.1,,,,,"£1,523.61",7283.9,"1,861.76",,,,,
Changing Pavilion - Leeds Road Football Changing Rooms  ,£182.02,556,£532.74,2911.1,,,,,£182.02,556,142.11,,,,,
Changing Pavilion - Meanwood Park Bowls Pavilion  ,£640.34,3535.3,£624.78,3626,,,,,£640.34,3535.3,903.62,,,,,
Changing Pavilion - Methley Playing Fields Changing Rooms  ,£126.13,4655,"£1,837.78",7090.4,,,,,£126.13,4655,"1,189.82",,,,,
Changing Pavilion - Micklefield Park Football Changing Pavilion  ,£67.39,0.2,£102.49,0.4,,,,,£67.39,0.2,0.05,,,,,
Changing Pavilion - Middleton Park Golf Club House  ,"£10,631.31",59491.2,"£9,186.90",55817.2,£825.33,15936.6,"£1,592.75",44945.04,"£11,456.64",75427.8,"15,374.55",,,,,
Changing Pavilion - Millshaw Changing Rooms  ,£341.79,1493.6,£391.64,1966.1,£583.80,16767.24,£598.32,16447.47,£925.59,18260.84,501.02,,,,,
Changing Pavilion - Moorland Road Changing Rooms  ,£921.21,5521.8,"£1,515.66",9422.6,,,,,£921.21,5521.8,"1,411.37",,,,,
Changing Pavilion - Moorville Grove Sports Pavilion  ,"£2,968.47",16514.7,"£2,453.08",14574.4,,,,,"£2,968.47",16514.7,"4,221.16",,,,,
Changing Pavilion - New Wortley Recreation Ground Football Changing Rooms  ,£261.23,1046.6,£240.74,845.1,£57.01,0,£55.13,0,£318.24,1046.6,279.16,,,,,
Changing Pavilion - Ninelands Lane Football Changing Room  ,£681.96,3677.4,£571.66,3446.9,"£1,300.06",39096.53,"£1,340.45",37449.99,"£1,982.02",42773.93,"1,205.52",,,,,
Changing Pavilion - Ninevah Lane Rugby Pavilion  ,£126.76,68.7,£129.48,55.4,£270.21,8486.77,£276.85,8325.8,£396.97,8555.47,72.76,,,,,
Changing Pavilion - Old Farnley Bowling Pavilion  ,"£1,372.28",7729.6,£898.15,5378.8,,,,,"£1,372.28",7729.6,"1,975.69",,,,,
Changing Pavilion - Potternewton Sports Pavilion  ,£363.34,2346.3,£385.66,2625.4,,,,,£363.34,2346.3,599.71,,,,,
Changing Pavilion - Roundhay Park - Cricket Oval Pavilion  ,"£3,223.52",18357,"£3,092.59",18977.8,,,,,"£3,223.52",18357,"4,692.05",,,,,
Changing Pavilion - Savile Road Sports Pavilion  ,"£2,864.47",15519.3,"£2,690.16",15628.3,,,,,"£2,864.47",15519.3,"3,966.73",,,,,
Changing Pavilion - Scatcherd Park Bowling Pavilion  ,£229.46,709.5,£335.62,1576.9,,,,,£229.46,709.5,181.35,,,,,
Changing Pavilion - Shadwell Changing & Community Room  ,£977.51,6019.3,£908.81,5868.9,£871.07,24710.38,£690.57,17967.42,"£1,848.58",30729.68,"1,716.48",,,,,
Changing Pavilion - Shaw Lane Sports Pavilion  ,"£2,706.07",14693.8,"£2,513.17",14700.8,£29.43,0,£28.39,0,"£2,735.50",14693.8,"3,761.75",,,,,
Changing Pavilion - Spen Lane Playing Fields Changing Facility  ,£753.82,4381.1,£732.80,4477.6,£95.03,2378.67,£96.41,2328.69,£848.85,6759.77,"1,139.22",,,,,
Changing Pavilion - Spink Well Lane Changing Pavilion  ,£127.29,806.9,£121.90,694.2,,,,,£127.29,806.9,206.24,,,,,
Changing Pavilion - St Anthonys Football Club Changing Rooms  ,"£2,737.78",15145,"£2,682.05",15641.3,,,,,"£2,737.78",15145,"3,871.06",,,,,
Changing Pavilion - Stanningley Park Changing Rooms  ,£295.29,1223.8,£264.55,1027.1,£337.12,4143.04,£501.95,16269.91,£632.41,5366.84,381.67,,,,,
Changing Pavilion - Stanningley Park Sports Pavilion  ,£275.72,1023.9,£289.53,1217.6,,,,,£275.72,1023.9,261.71,,,,,
Changing Pavilion - Temple Newsam Changing Rooms  ,"£1,121.39",6665,£748.02,4549.2,,,,,"£1,121.39",6665,"1,703.57",,,,,
Changing Pavilion - Town Street Bowling Pavilion  ,£398.75,1873.9,£450.89,2394.2,,,,,£398.75,1873.9,478.97,,,,,
Changing Pavilion - Tyersal Recreation Ground Changing Room  ,£680.85,3492.6,£256.30,1017.7,£691.94,19288.26,£800.68,30858.72,"£1,372.79",22780.86,"1,034.06",,,,,
Changing Pavilion - Victoria Park Bowling Pavilion  ,£239.39,782.8,£164.52,354.2,,,,,£239.39,782.8,200.08,,,,,
Changing Pavilion - Victoria Park Cricket Pavilion & Clubhouse  ,£347.87,1529.5,£237.50,882.5,,,,,£347.87,1529.5,390.94,,,,,
Changing Pavilion - West Royd Park Bowling Pavilion  ,£649.01,3531.6,£484.80,2712.3,,,,,£649.01,3531.6,902.68,,,,,
Changing Pavilion - Western Flatts Park  ,"£2,561.74",13748.5,"£3,083.15",18336.8,,,,,"£2,561.74",13748.5,"3,514.12",,,,,
Changing Pavilion - Whinmoor Bowling Pavilion  ,£725.19,4197.5,£709.48,4376.5,,,,,£725.19,4197.5,"1,072.88",,,,,
Changing Pavilion - Woodhall Sports Pavilion  ,"£2,165.36",12691.5,"£1,254.61",7777.6,,,,,"£2,165.36",12691.5,"3,243.95",,,,,
Changing Pavilion - Woodhouse Moor Bowling Pavilion  ,£230.40,684.9,£451.34,2282.8,,,,,£230.40,684.9,175.06,,,,,
Changing Pavilion - Woodlesford Recreation Ground Bowling & Changing Pavilion  ,£478.80,1590.7,£489.01,1796.3,£856.77,19122.18,"£1,459.86",41739.75,"£1,335.57",20712.88,581.60,,,,,
Changing Pavilion - Wortley Park Bowling Pavilion  ,£467.25,2323.9,£486.60,2634.9,,,,,£467.25,2323.9,593.99,,,,,
Childrens Home - Acorn Lodge  ,"£7,456.18",55699.8,"£6,994.31",54361.8,"£2,927.74",117281,"£2,809.43",101603.24,"£10,383.92",172980.8,"14,834.95",,,,,
Childrens Home - Cherry Trees  ,"£1,713.76",10488.1,"£2,286.97",13443.2,"£1,485.07",52800.92,"£1,525.37",49737.82,"£3,198.83",63289.02,"2,984.13",,,,,
Childrens Home - Cranmer Bank  ,"£1,161.89",7133.2,"£1,444.39",9569.2,"£1,682.94",50117.69,"£1,725.22",49284.29,"£2,844.83",57250.89,"2,167.04",,,,,
Childrens Home - Easdale Close  ,"£1,940.00",12518.2,"£1,769.96",12088.8,"£1,946.07",52051.63,"£2,298.96",70676.14,"£3,886.07",64569.83,"3,597.20",,,,,
Childrens Home - Ganners Green  ,"£1,647.04",10381.7,"£1,615.54",10849.5,"£1,402.61",45454.96,"£1,588.36",49820.8,"£3,049.65",55836.66,"2,940.09",,,,,
Childrens Home - Lingfield Approach  ,"£2,350.22",14817.8,"£2,482.72",17017.4,"£3,431.73",123914.57,"£3,254.79",113839.57,"£5,781.95",138732.37,"4,488.46",,,,,
Childrens Home - Luttrell Crescent  ,"£1,333.04",8103.4,"£1,371.94",9106.8,"£1,504.49",56297.73,"£1,935.05",59121.39,"£2,837.53",64401.13,"2,378.57",,,,,
Childrens Home - Pinfolds Childrens Home & Hostel   ,£58.10,8.3,£264.25,23.1,£252.97,0,£452.19,0,£311.07,8.3,53.80,,,,,
Childrens Home - Rainbow House  ,"£12,378.51",68436.1,"£12,337.74",73991.3,,,,,"£12,378.51",68436.1,"17,492.27",,,,,
Childrens Home - Raynel Drive Community Home  ,"£2,666.78",14366.8,"£2,709.34",15900.8,"£2,384.27",62965.79,"£2,464.37",66059.11,"£5,051.05",77332.59,"4,159.21",,,,,
Childrens Home - St Catherines Drive  ,"£1,914.30",12509.4,£880.84,5405.6,"£1,649.16",54249.13,"£1,078.57",29171.35,"£3,563.46",66758.53,"3,534.29",,,,,
Childrens Home - Street Lane Group  ,"£1,411.77",8569.8,"£1,410.75",9151.9,"£1,753.48",51538.04,"£1,846.91",51699.91,"£3,165.25",60107.84,"2,548.64",,,,,
Childrens Home - Woodnook  ,"£1,852.93",10717.2,"£1,925.18",11886.7,"£1,542.59",45312.68,"£1,557.51",44580.31,"£3,395.52",56029.88,"3,054.44",,,,,
Combined Heat and Power - Ebor Gardens - comprising Scargill Grange & Gargrave Court & Brignall Croft  ,"£39,639.74",281557.8,"£41,554.79",278397.5,"£37,693.26",1567017.73,"£39,175.35",1606301.23,"£77,333.00",1848575.53,"79,666.15",,,,,
Combined Heat and Power - Wharfedale View Sheltered Housing  ,"£29,046.89",220932.1,"£30,796.96",218697.9,"£20,023.58",564559.55,"£48,960.70",1074291.77,"£49,070.47",785491.65,"60,560.66",,,,,
Community Centre - Allerton Bywater Community Centre Youth Project  ,"£2,050.62",11140.5,"£2,175.26",13087.3,,,,,"£2,050.62",11140.5,"2,847.51",,,,,
Community Centre - Allerton Bywater Miners Welfare Hall  ,"£1,712.46",10773.9,"£1,647.27",10864.6,"£2,345.83",66433.83,"£2,024.34",62106.79,"£4,058.29",77207.73,"3,233.01",,,,,
Community Centre - Astley Court Sheltered Housing   ,£787.60,4587.6,£843.12,5388.2,£718.16,23575.37,£713.79,22925.53,"£1,505.76",28162.97,"1,319.30",,,,,
Community Centre - Belle Isle Circus Sheltered Housing Community Room  ,£706.57,3987.9,£803.17,4869.4,£236.15,7190.2,£272.76,8183.4,£942.72,11178.1,"1,067.55",,,,,
Community Centre - Belle Isle Open Access Centre  ,"£7,589.14",42437.4,"£7,574.46",46008.1,"£4,804.81",135463.03,"£4,982.69",151124.94,"£12,393.95",177900.43,"11,828.53",,,,,
Community Centre - BITMO - 3 Winrose Grove Communal Room  ,£310.40,1998,£240.94,1670.2,£166.61,4854.14,£170.82,4816.57,£477.01,6852.14,544.72,,,,,
Community Centre - BITMO - Broom Nook Sheltered Housing Community Room  ,£505.33,2562.8,£422.74,2277.7,£215.42,2008.77,£371.23,10619.32,£720.75,4571.57,699.06,,,,,
Community Centre - BITMO - Sheltered Housing Community Room - 58 & 64 Belle Isle Circus  ,£854.18,5000.2,£783.33,4871.8,£286.03,10759.92,£418.21,15131.17,"£1,140.21",15760.12,"1,336.48",,,,,
Community Centre - Broom Hill Centre  ,"£3,480.32",18970.3,"£3,555.82",21025.5,"£2,327.18",62064.67,"£2,605.10",72781.56,"£5,807.50",81034.97,"5,324.21",,,,,
Community Centre - Button Hill Sheltered Housing  ,"£1,079.77",6551,£931.36,6022.5,"£1,195.82",35929.84,"£1,274.69",41463.95,"£2,275.59",42480.84,"1,918.72",,,,,
Community Centre - Calverley Mechanics Institute  ,"£1,887.64",11389.7,"£1,797.69",11804.4,"£5,081.86",150428.87,"£5,238.97",151405.03,"£6,969.50",161818.57,"3,949.33",,,,,
Community Centre - Church Gardens  ,"£1,639.63",10109.1,"£1,829.60",11471.4,£864.78,21758.85,£891.94,26735.77,"£2,504.41",31867.95,"2,760.54",,,,,
Community Centre - Churchville  ,"£1,654.54",9943.4,"£1,672.94",10647.5,"£1,309.97",29265.85,"£1,590.11",43549.48,"£2,964.51",39209.25,"2,809.13",,,,,
Community Centre - Cranmore & Raylands  ,£77.46,316.7,£275.60,1291.7,£69.93,0,£528.61,0,£147.39,316.7,95.23,,,,,
Community Centre - Cranmore Green Sheltered Housing  ,£906.96,5515.3,£788.77,4926.2,£513.57,17255.92,£548.55,17462.27,"£1,420.53",22771.22,"1,514.62",,,,,
Community Centre - Crimbles Court Sheltered Housing Community Centre  ,"£1,769.26",10811.7,"£1,607.84",10155,"£1,004.59",30221.07,£967.77,30975.96,"£2,773.85",41032.77,"2,968.69",,,,,
Community Centre - Crossgates  ,"£4,559.40",25239.8,"£4,165.00",24873.6,"£6,954.04",212621.44,"£7,184.85",234815.98,"£11,513.44",237861.24,"7,871.86",,,,,
Community Centre - Denis Healey  ,"£5,033.70",28289.7,"£5,132.24",30137.7,"£5,066.64",154271.55,"£4,331.98",124590.86,"£10,100.34",182561.25,"8,265.86",,,,,
Community Centre - Drighlington Meeting Hall Library  ,"£1,419.71",7928.5,"£1,917.71",12008.1,"£1,513.71",42283.32,"£2,915.01",87247.27,"£2,933.42",50211.82,"2,335.75",,,,,
Community Centre - Ebor Gardens  ,"£3,191.33",18068.8,"£2,848.16",18013.9,"£1,080.83",12002.03,"£1,933.08",42211.47,"£4,272.16",30070.83,"4,839.18",,,,,
Community Centre - Fairfield  ,,,,,£648.62,0,£605.40,0,£648.62,0,132.50,,,,,
Community Centre - Farsley & District Art Club  ,£540.30,2932.9,£510.47,2958.4,£583.39,18593.74,£594.57,18022.92,"£1,123.69",21526.64,868.82,,,,,
Community Centre - Fieldhead Carr  ,"£2,254.05",13263.5,"£1,656.26",10821.5,"£1,049.44",32238.32,"£1,036.30",31673.94,"£3,303.49",45501.82,"3,604.53",,,,,
Community Centre - Greenside Sheltered Housing Community Centre  ,"£1,468.43",8867.5,"£1,586.53",10499.7,"£1,887.83",58100.71,"£1,811.43",50141.37,"£3,356.26",66968.21,"2,652.18",,,,,
Community Centre - Ireland Crescent Sheltered Housing  ,"£2,902.74",15621.9,"£2,822.19",16511.6,"£1,598.07",46967.01,"£1,612.41",46158.46,"£4,500.81",62588.91,"4,319.41",,,,,
Community Centre - Kentmere  ,£0.00,0,"£2,407.40",14331,£0.00,0,"£2,261.82",65852.58,£0.00,0,0.00,,,,,
Community Centre - Lewisham Park Youth Club and Community Centre  ,"£1,416.90",8914.2,"£1,285.39",8701.8,"£4,169.74",124355.32,"£4,595.46",140584.73,"£5,586.64",133269.52,"3,130.26",,,,,
